FID,LATITUDE,LONGITUDE,MINERAL,DESCRIPTION,PURETE
34,-11.9318922019999,13.134204535,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
35,-11.8829502379999,13.244719486,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
36,-11.8169221169999,13.258239027,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
37,-11.8495207379999,13.283731348,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
38,-11.9219676509999,13.341963897,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
39,-11.9545896139999,13.367447446,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
40,-11.9207366639999,13.438718817,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
41,-11.9496622859999,13.46774429,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
42,-12.0155728749999,13.468536242,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
43,-12.1203365549999,13.469032602,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
44,-12.0951374109999,13.551914025,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
45,-12.0376161429999,13.619451038,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
46,-12.1344988629999,13.322949078,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
47,-12.2009983389999,13.269918054,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
48,-12.0371173279999,13.203543832,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
49,-11.4454180789999,12.732776624,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
50,-11.4485921469999,12.766854363,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
51,-11.4536408799999,12.797374841,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
52,-11.4642153799999,12.824387245,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
53,-11.4875689939999,12.851571247,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
54,-11.5221530139999,12.859198023,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
55,-11.5618748719999,12.89196929,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
56,-11.5958130749999,12.947951752,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
57,-11.5633541759999,12.927935174,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
58,-11.5908211329999,12.91205543,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
59,-11.5604648149999,12.861495176,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
60,-11.5419880049999,12.877375239,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
61,-11.5424544879999,12.843343385,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
62,-11.5392448129999,12.811054572,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
63,-11.5084146979999,12.79631568,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
64,-11.5079206729999,12.832137509,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
65,-11.4845656149999,12.804955186,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
66,-11.4740884189999,12.770779091,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
67,-11.4818828219999,12.735055599,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
68,-11.4785552589999,12.711723422,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
69,-11.4521193909999,12.690887599,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
70,-11.4205151359999,12.7217553,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
71,-11.7228306859999,12.391674057,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
72,-11.7718665129999,12.388134056,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
73,-11.7924771719999,12.464843213,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
74,-11.7901260109999,12.553468026,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
75,-11.8702612089999,12.567305655,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
76,-11.8702612089999,12.567305655,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
77,-11.9020740729999,12.445384336,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
78,-11.9359179789999,12.425127844,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
79,-12.0500219039999,12.4263955,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
80,-12.0474187089999,12.497625193,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
81,-11.9744665779999,12.496815239,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
82,-11.9073849889999,12.513974035,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
83,-11.9614681159999,12.568356073,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
84,-12.0528193499999,12.557428277,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
85,-11.8512913619999,12.626816774,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
86,-11.8811231309999,12.730680187,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
87,-11.9417342219999,12.693581317,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
88,-11.8512913619999,12.626816774,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
89,-11.9727875579999,12.640171903,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
90,-12.0457800279999,12.640991442,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
91,-12.0326450629999,12.724484819,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
92,-12.0409361539999,12.850873511,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
93,-12.1355546019999,12.773416052,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
94,-12.2089234219999,12.744327233,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
95,-12.2017971259999,12.805555582,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
96,-12.0811025749999,12.818583392,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
97,-12.0120048799999,12.792716015,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
98,-11.9721775569999,12.763586461,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
99,-12.0781928059999,12.754027241,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
100,-12.0971436169999,12.693295845,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
101,-12.1304453649999,12.62511344,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
102,-12.1263022119999,12.601252294,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
103,-11.9995441029999,12.609767784,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
104,-11.9188794759999,12.641106963,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
105,-11.8819512689999,12.676518146,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
106,-11.7967443159999,12.584506854,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
107,-11.8328384519999,12.514659301,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
108,-11.7530948669999,12.474287171,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
109,-11.7354012989999,12.431069545,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
110,-11.8660362539999,12.414695245,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
111,-11.8515956179999,12.471871264,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
112,-11.9501873429999,12.462251139,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
113,-11.9978045419999,12.44486254,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
114,-12.0705424339999,12.463584213,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
115,-12.0771118189999,12.528180245,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
116,-12.0075487439999,12.548921287,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
117,-12.0580549899999,12.599665059,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
118,-12.0905743129999,12.628698969,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
119,-12.0134325389999,12.670859946,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
120,-12.1443629839999,12.715317394,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
121,-12.1469286819999,12.812136227,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
122,-12.1694834329999,12.755021185,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
123,-12.2231293909999,12.672894336,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
124,-12.2498641969999,12.752285096,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
125,-12.2613206359999,12.705796702,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
126,-12.2493853249999,12.642884583,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
127,-12.3016376379999,12.691868897,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
128,-12.3526825359999,12.699553823,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
129,-12.4219916419999,12.707407691,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
130,-12.4800333129999,12.74740903,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
131,-12.4804935199999,12.700798576,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
132,-12.4882193729999,12.657842412,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
133,-12.6276831439999,12.741525742,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
134,-12.5945653589999,12.832096426,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
135,-12.6812727259999,12.786750108,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
136,-12.6329429429999,12.703709247,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
137,-12.6677698779999,12.652384225,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
138,-12.7463413149999,12.751341448,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
139,-12.6724118719999,12.723184786,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
140,-12.6475303049999,12.780343433,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
141,-12.6028513179999,12.868396626,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
142,-12.8081300259999,12.800855073,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
143,-12.8616256309999,12.813250252,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
144,-12.8790996749999,12.763178422,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
145,-12.8696758879999,12.724844961,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
146,-12.9159321179999,12.727604163,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
147,-12.9500888889999,12.720697146,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
148,-13.0012001879999,12.725870257,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
149,-13.0474067349999,12.735780333,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
150,-13.0887638449999,12.743256419,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
151,-12.9571275699999,12.754228632,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
152,-12.9227708619999,12.785046049,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
153,-12.9444060429999,12.821083523,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
154,-12.8448352209999,12.782029526,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
155,-12.8298918419999,12.820163556,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
156,-12.7814161769999,12.791067531,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
157,-12.9738744159999,12.792617386,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
158,-13.0130059379999,12.773785002,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
159,-13.0592947189999,12.77412945,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
160,-13.1178197629999,12.767379055,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
161,-13.1520325719999,12.753271894,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
162,-13.1982197899999,12.767939924,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
163,-13.2273236799999,12.787269379,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
164,-13.2489563629999,12.830462324,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
165,-13.1809251989999,12.801302361,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
166,-13.1396241629999,12.784273748,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
167,-13.0858958629999,12.800628942,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
168,-13.0444192309999,12.807498259,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
169,-12.9930433619999,12.83341546,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
170,-13.0342828659999,12.85764028,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
171,-13.0732761989999,12.857929592,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
172,-13.0953905539999,12.834177235,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
173,-13.1271238529999,12.82723105,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
174,-13.1636429569999,12.832271619,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
175,-13.2001982389999,12.832524505,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
176,-13.1341874899999,12.860761361,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
177,-13.0778587839999,12.896224953,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
178,-13.1217341869999,12.896543673,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
179,-13.1802883729999,12.889783113,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
180,-13.2193406449999,12.882877139,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
181,-13.2607960899999,12.880764187,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
182,-13.2775974709999,12.91914075,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
183,-13.2044423789999,12.921039566,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
184,-13.1434958179999,12.92061338,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
185,-13.0923855609999,12.947239991,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
186,-13.1674897189999,12.973394948,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
187,-13.1674897189999,12.973394948,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
188,-13.2234710919999,12.988132385,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
189,-13.2164620449999,12.94503713,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
190,-13.2554396789999,12.95008402,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
191,-13.3186266589999,12.981590573,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
192,-13.2818499819999,13.010049163,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
193,-13.2158646879999,13.028735879,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
194,-13.2303115109999,13.055141638,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
195,-13.2887885659999,13.065101475,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
196,-13.2887885659999,13.065101475,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
197,-13.3231182129999,13.039018653,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
198,-13.3448164209999,13.07742456,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
199,-13.2983002009999,13.101038098,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
200,-13.2617876259999,13.088836776,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
201,-13.3621774469999,13.034485318,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
202,-13.4205908769999,13.03828023,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
203,-13.3764533999999,13.089583769,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
204,-13.4300230509999,13.106657381,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
205,-13.4320987909999,13.164071377,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
206,-13.3999981919999,13.221273598,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
207,-13.3536979839999,13.209021482,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
208,-13.3076335499999,13.163280885,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
209,-13.3565221719999,13.15164038,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
210,-13.3880750629999,13.178148702,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
211,-13.3933146239999,13.123172943,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
212,-13.3469688259999,13.120487854,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
213,-13.2956462439999,13.1321111,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
214,-13.2689393809999,13.112800376,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
215,-13.1818589619999,13.009367798,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
216,-13.2500945639999,13.017011583,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
217,-13.2845679659999,12.969410143,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
218,-13.2479241369999,12.978732206,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
219,-13.1383895919999,12.95166555,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
220,-12.9661431019999,12.84516472,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
221,-12.8982507999999,12.803980813,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
222,-12.9083898209999,12.756238558,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
223,-12.9900962949999,12.882082293,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
224,-13.1000486729999,12.862907655,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
225,-13.1780926479999,12.856287069,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
226,-13.1510553309999,12.887186776,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
227,-13.1751356389999,12.92801082,OR,L'or est un métal précieux qui a une longue histoire d'exploitation au Sénégal.,78.2580341855504
